"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.293629163E-2;2.335312150E-2;-5.122160912E-4;7.931748033E-3;2.466866993E-2
2.293129172E-2;2.080358930E-2;-8.526373319E-3;4.505279660E-3;2.293002212E-2
3.292629169E-2;1.964072429E-2;1.198087178E-2;2.188963652E-2;3.175618878E-2
4.292129166E-2;3.607805148E-3;4.169430211E-4;2.281291187E-2;2.310019583E-2
5.291729164E-2;1.289910391E-2;-2.566854581E-3;6.983329654E-3;1.489102136E-2
6.291229161E-2;1.620351166E-2;-1.860584021E-3;1.854853749E-2;2.469946975E-2
7.290729170E-2;1.796440065E-2;-6.561891586E-3;6.320255399E-3;2.014258524E-2
8.290229167E-2;1.152815111E-2;-8.181424141E-3;3.405359924E-2;3.687114848E-2
9.289729164E-2;1.596041366E-2;-5.478694886E-3;2.241296232E-2;2.805515607E-2
1.028922916E-1;1.338939294E-2;9.358724467E-3;2.244629145E-2;2.776144029E-2
1.128872917E-1;1.327252172E-2;9.381747879E-3;2.698197663E-2;3.149927124E-2
1.228822917E-1;7.491379604E-3;6.494977511E-3;3.750053287E-2;3.878911531E-2
1.328772916E-1;1.498261303E-2;2.100919202E-2;2.585697234E-2;3.653009528E-2
1.428722916E-1;6.740743294E-3;-4.176264144E-3;1.705632806E-2;1.880949572E-2
1.528672917E-1;1.022875361E-2;-1.249396496E-2;1.230546534E-2;2.030150334E-2
1.628622917E-1;2.149012551E-2;-4.295108803E-3;1.247737348E-2;2.521821371E-2
1.728572916E-1;3.004153222E-3;2.114543214E-2;1.527935922E-2;2.626048468E-2
1.828532916E-1;-4.757952467E-3;1.391315728E-2;1.028115928E-2;1.794202590E-2
1.928482917E-1;-8.689108640E-3;1.346953634E-2;1.231189728E-2;2.021167566E-2
2.028432917E-1;-1.180063136E-2;7.880621441E-3;2.211592376E-2;2.627685633E-2
2.128382917E-1;5.624144375E-3;-1.786189165E-2;2.679135740E-2;3.268722999E-2
2.228332916E-1;1.041732632E-2;3.136885017E-3;2.666973531E-2;2.880339419E-2
2.328282917E-1;8.755913079E-3;9.294624366E-3;1.384094417E-2;1.883156370E-2
2.428232917E-1;-2.942903638E-3;9.302043021E-3;1.824448228E-2;2.068936490E-2
2.528192917E-1;-9.369286001E-3;4.971485473E-3;1.921278119E-2;2.194607366E-2
2.628142916E-1;-1.449122764E-2;1.471159458E-3;1.667625904E-2;2.214176154E-2
2.728092916E-1;-1.088992752E-2;-1.200404137E-2;1.651721478E-2;2.314100073E-2
2.828042917E-1;8.660018742E-3;3.666752391E-3;7.641726136E-3;1.211763079E-2
2.927992917E-1;6.408402175E-3;-6.530682072E-3;2.826310158E-2;2.970724386E-2
3.027952916E-1;-7.754796669E-3;-6.519901268E-3;2.501789689E-2;2.699150142E-2
3.127902916E-1;-4.543432742E-3;2.127545960E-3;2.772164941E-3;5.731852350E-3
3.227852917E-1;-1.058053672E-3;-9.170626849E-4;-3.828172088E-3;4.076197134E-3
3.327802917E-1;4.743042067E-3;-3.216334060E-4;1.395438015E-2;1.474193412E-2
3.427752916E-1;9.961755127E-3;-5.865451656E-3;2.199020863E-2;2.484369867E-2
