"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.919841250E-1,4.579349265E-2,-2.717676200E-4,-5.705946922E-2,7.316352134E-2
6.019381250E-1,1.675589081E-2,-1.675896060E-2,-6.544846952E-2,6.960693069E-2
6.118931250E-1,1.925985128E-2,4.032835599E-2,1.309191585E-3,4.471053736E-2
6.218471250E-1,-4.203344062E-3,-1.863922415E-2,-4.913707674E-2,5.272135325E-2
6.318011250E-1,-1.177896012E-2,-2.041480428E-2,-4.045337677E-2,4.681862693E-2
6.417561250E-1,-3.846700452E-3,-9.440366216E-3,-4.404005885E-2,4.520447326E-2
6.517101250E-1,5.830843449E-3,2.004032666E-2,-1.694113791E-2,2.688151003E-2
6.616651250E-1,1.695919119E-2,3.199203545E-2,-4.668416977E-3,3.650888406E-2
6.716191250E-1,3.370444737E-2,8.454324659E-3,-2.697145164E-2,4.398777764E-2
6.815741250E-1,1.025528535E-2,-2.703133078E-2,-2.053951442E-2,3.546456505E-2
6.915270000E-1,-1.741768599E-2,-2.930460032E-2,-2.726907492E-2,4.365475727E-2
7.014810000E-1,-7.624074854E-3,2.018411335E-2,-4.661400318E-3,2.207382164E-2
7.114360000E-1,7.065483034E-3,-6.337449867E-3,-2.247260392E-2,2.439471763E-2
7.213900000E-1,-2.254423231E-2,4.072402976E-3,-6.513038099E-2,6.904196843E-2
7.313450000E-1,-1.216915213E-2,-4.893571325E-3,-9.294734001E-3,1.607567678E-2
7.412990000E-1,3.832239557E-2,2.215433266E-2,-1.423797011E-2,4.649881989E-2
7.512530000E-1,2.471077189E-2,-5.573840048E-3,-3.818641126E-2,4.582457796E-2
7.612080000E-1,-1.863204304E-2,-3.917013220E-2,-5.899255872E-2,7.322277152E-2
7.711620000E-1,-6.479153484E-3,-1.166720521E-3,3.579080701E-3,7.493362750E-3
7.811170000E-1,3.728349153E-2,2.718458265E-2,-2.725153327E-2,5.358830414E-2
7.910710000E-1,7.758231908E-3,-8.708239999E-3,-2.994885385E-2,3.213965546E-2
8.010260000E-1,-3.379343469E-2,-1.350058140E-2,-5.644024909E-2,6.715477379E-2
8.109800000E-1,-7.803072743E-3,1.093718033E-2,-1.303461313E-2,1.871926808E-2
8.209340000E-1,7.213783041E-3,1.761049792E-2,8.068572879E-3,2.067051453E-2
8.308890000E-1,9.274049476E-4,2.055232348E-2,-3.997975230E-2,4.496263643E-2
8.408430000E-1,9.671075419E-3,-2.128589323E-2,-4.357169688E-2,4.944807093E-2
8.507980000E-1,1.216608234E-2,-1.648666307E-2,-4.716714978E-2,5.142532097E-2
8.607520000E-1,-1.196581520E-2,-9.976555891E-3,-5.702204704E-3,1.658998310E-2
8.707070000E-1,1.139161862E-2,4.198976923E-3,-2.261586070E-2,2.566860996E-2
8.806610000E-1,1.454710510E-2,-2.577580567E-3,-3.817413211E-2,4.093319619E-2
8.906150000E-1,1.688054614E-3,5.667980220E-3,-2.754623294E-2,2.817393258E-2
9.005700000E-1,-1.269434173E-2,-2.516464373E-2,-4.093050957E-6,2.818520219E-2
9.105240000E-1,3.445033282E-3,-2.638556063E-3,-1.946245730E-2,1.994034795E-2
9.204790000E-1,-8.414472230E-3,2.403848827E-2,-4.401374638E-2,5.085137296E-2
9.304330000E-1,-9.678494073E-3,6.845262274E-4,-3.174277961E-2,3.319255762E-2
9.403880000E-1,1.560998272E-2,-9.777787104E-3,-2.845021248E-2,3.389234827E-2
9.503420000E-1,1.732336309E-2,-1.837403465E-2,-4.580942631E-2,5.230877170E-2
9.602960000E-1,-5.791411288E-3,4.378102720E-3,-8.278546393E-2,8.310319649E-2
9.702510000E-1,-1.020945780E-2,1.525726771E-2,-3.503710091E-2,3.955522326E-2
9.802050000E-1,4.230095074E-3,6.879797392E-3,-1.288433969E-2,1.520629888E-2
9.901600000E-1,1.293853607E-2,3.999605142E-3,-5.060355842E-2,5.238437441E-2
1.000114000E0,1.422057465E-2,5.091901571E-3,-2.784327149E-2,3.167648927E-2
