"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.795398333E-1;6.054735163E-2;3.764942673E-2;1.450167954E-2;7.275822862E-2
6.895358334E-1;4.700414037E-2;3.946203617E-2;2.872093856E-2;6.776085760E-2
6.995308334E-1;4.363261756E-2;4.227189738E-2;-1.019871354E-2;6.160139918E-2
7.095258334E-1;1.640730539E-2;7.070453167E-3;3.755023420E-2;4.158378370E-2
7.195218334E-1;4.704629514E-2;9.024601774E-3;4.768989086E-3;4.814084109E-2
7.295168333E-1;9.434387438E-2;4.440534538E-2;4.618130922E-3;1.043739837E-1
7.395128334E-1;6.334403833E-2;-9.509692267E-3;2.647092998E-2;6.930809169E-2
7.495078334E-1;7.571703902E-2;1.338111548E-2;8.808830380E-3;7.739327969E-2
7.595028334E-1;1.107746600E-1;3.556551562E-2;2.542310894E-2;1.190893180E-1
7.694988333E-1;9.133840553E-2;1.152747503E-2;1.324979067E-3;9.207248544E-2
7.794938334E-1;6.143967329E-2;2.860011133E-2;1.061211169E-2;6.859604024E-2
7.894898334E-1;7.458452471E-2;1.067431144E-2;3.427053094E-3;7.542239020E-2
7.994848334E-1;8.427665010E-2;2.925813323E-2;8.366780877E-3;8.960242817E-2
8.094798333E-1;8.136987129E-2;2.753911578E-2;1.016304553E-2;8.650286901E-2
8.194758333E-1;1.160267570E-1;1.458481964E-2;1.184645891E-3;1.169458366E-1
8.294708334E-1;1.046519309E-1;2.291438847E-2;1.345795155E-2;1.079732017E-1
8.394668334E-1;8.074566275E-2;2.522857938E-2;-2.707845569E-3;8.463850009E-2
8.494618334E-1;6.143004365E-2;-6.927132430E-3;1.932504773E-3;6.184957560E-2
8.594578333E-1;7.579511762E-2;-8.084396906E-3;1.121554434E-2;7.704573812E-2
8.694528334E-1;1.171545935E-1;-1.272604460E-2;-1.797667980E-2;1.192070133E-1
8.794478334E-1;1.138184281E-1;3.693503402E-3;1.750539422E-2;1.152159510E-1
8.894438334E-1;1.458562363E-1;1.409480469E-3;1.840645015E-2;1.470198140E-1
8.994388334E-1;7.920481179E-2;1.045596362E-2;1.601610839E-2;8.148156303E-2
9.094348333E-1;7.601895634E-2;2.315614343E-2;4.640935063E-3;7.960293324E-2
9.194298334E-1;6.570050279E-2;3.921310924E-2;1.107871950E-2;7.731081443E-2
9.294253334E-1;5.871227609E-2;5.319321714E-2;2.350112915E-2;8.263747809E-2
9.394213334E-1;4.820243586E-2;3.125754294E-2;1.182482421E-2;5.865437137E-2
9.494163333E-1;5.424006974E-2;3.338248506E-2;-1.645406485E-3;6.371093185E-2
9.594123333E-1;5.946541574E-2;3.011997627E-2;2.439984620E-2;7.098380896E-2
9.694073334E-1;5.145619210E-2;9.934510756E-3;3.038856447E-2;6.057969181E-2
9.794023334E-1;8.290584348E-2;2.761275415E-2;1.168156743E-2;8.816066069E-2
9.893983334E-1;1.074436109E-1;2.670216909E-2;1.482561529E-2;1.117001979E-1
9.993933333E-1;9.095943287E-2;2.256084206E-3;3.577852786E-2;9.776917408E-2
1.009389333E0;6.588213192E-2;5.318947127E-3;-1.192247272E-3;6.610724589E-2
1.019384333E0;1.223521470E-1;-1.534684888E-2;-4.333956242E-3;1.233870205E-1
1.029379333E0;1.078861172E-1;-1.759102852E-2;1.505658031E-3;1.093212037E-1
1.039375333E0;7.721069198E-2;7.033953751E-3;-1.600441396E-2;7.916507265E-2
1.049370333E0;7.671813715E-2;4.856021237E-4;-2.682117820E-3;7.676654306E-2
1.059366333E0;6.021945074E-2;6.103743967E-3;4.357345104E-3;6.068463063E-2
1.069361333E0;5.813829878E-2;2.191964918E-2;-5.516263247E-3;6.237757582E-2
1.079357333E0;6.588659042E-2;2.132088516E-2;-2.736496925E-4;6.925097708E-2
1.089352333E0;1.084365412E-1;1.772534089E-2;1.739371240E-2;1.112439320E-1
1.099347333E0;9.706016187E-2;1.604842340E-2;2.248137474E-2;1.009140185E-1
1.109343333E0;8.490941020E-2;2.176724698E-2;1.904087305E-2;8.969936359E-2
1.119338333E0;8.999701772E-2;3.073985422E-2;5.197531521E-2;1.083782046E-1
1.129334333E0;8.416937197E-2;3.042924830E-2;2.039157987E-2;9.179454700E-2
1.139329333E0;5.572032893E-2;3.773546303E-2;9.614576697E-3;6.797911673E-2
1.149324333E0;5.419559436E-2;4.322611730E-2;4.359683990E-2;8.189227139E-2
1.159320333E0;4.131251547E-2;3.043614618E-2;5.731440783E-3;5.163266740E-2
1.169315333E0;3.497597924E-2;3.182054758E-3;-2.497930527E-3;3.520915013E-2
1.179311333E0;4.664691204E-2;1.851705389E-2;-6.686875820E-3;5.063131438E-2
1.189306333E0;6.159204807E-2;1.453179270E-3;-6.833640933E-3;6.198702093E-2
1.199301333E0;6.857945250E-2;1.563078602E-2;1.681834638E-2;7.232094823E-2
1.209297333E0;9.545117257E-2;2.354792515E-3;1.023496628E-2;9.602721452E-2
1.219292333E0;1.283121043E-1;-1.067367190E-2;1.038582444E-2;1.291734831E-1
1.229288333E0;9.439125510E-2;4.454326658E-3;1.188154221E-2;9.524033342E-2
1.239283333E0;7.328019362E-2;-1.672312813E-3;1.352811813E-2;7.453719466E-2
1.249278333E0;1.058819292E-1;-2.443531321E-2;1.263349414E-2;1.093968585E-1
1.259274333E0;1.391307506E-1;-2.410085248E-3;-4.578954577E-3;1.392269410E-1
1.269269333E0;1.026650287E-1;3.181832747E-2;1.308197558E-2;1.082758152E-1
1.279265333E0;7.415740388E-2;3.789360280E-2;2.131427050E-2;8.596245581E-2
